"FeatureID","s.Cor_Mes","s.NoMeds","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"e504385fbd83b4253f6a4a941a1e7007",1,0,1,0.608047780549291,0.002,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","e504385fbd83b4253f6a4a941a1e7007"
"b1f914aca311f8af324b2eda493cda68",1,0,1,0.723678866234583,0.006,"Bacteria","Bacillota","Clostridia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","b1f914aca311f8af324b2eda493cda68"
"c7d1ed6c70202259164edf3ee7806f0c",1,0,1,0.768486675299383,0.01,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","Lachnospiraceae (family-level)"
"9ef169ac863ffa2f9c9a54904c26f605",1,0,1,0.593150528270067,0.015,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","9ef169ac863ffa2f9c9a54904c26f605"
"09ad3f07c79e7bbc78206689dc55492d",1,0,1,0.561323236827037,0.019,"Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","Oscillospiraceae (family-level)"
"c96cf2618b5bae7bc0014b73816f4454",1,0,1,0.462910049886276,0.027,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","Turicibacter (genus-level)"
"2ab424bb8819d10f58e3059611aeb88c",1,0,1,0.508788445805241,0.039,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","Lachnospiraceae (family-level)"
"93b58b0ba0d326e9c8d1a81f8672c16a",0,1,2,0.66858807739825,0.04,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","Lachnospiraceae (family-level)"
"f1681bcc5274382eaf70ad85491c837e",1,0,1,0.504421683002235,0.046,"Bacteria","Bacteroidota","Bacteroidia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","f1681bcc5274382eaf70ad85491c837e"
"866ea1cc638e4ceb9195a8a6a1869754",1,0,1,0.689957600402599,0.046,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Cor_Mes","NoMeds","Geofilum (genus-level)"
