"FeatureID","s.Mes_only","s.NoMeds","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"2afd81e05992550f91838c57bdeb8158",1,0,1,0.619695746926045,0.002,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Lachnospiraceae (family-level)"
"09ad3f07c79e7bbc78206689dc55492d",1,0,1,0.590729031217694,0.006,"Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Oscillospiraceae (family-level)"
"c96cf2618b5bae7bc0014b73816f4454",1,0,1,0.430331482911935,0.014,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Turicibacter (genus-level)"
"52ba52e30f9d5544bdace0dc6dd18956",0,1,2,0.454858826147342,0.017,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Lachnospiraceae (family-level)"
"9243bc95f3bb4eba8fabc522fa335a7f",1,0,1,0.61111827447075,0.019,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Marinilabiliaceae (family-level)"
"ca60f9527111263bca48622331f2b3f6",1,0,1,0.663301830150189,0.02,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Rikenellaceae (family-level)"
"44cae38ace30f54ee81cc5c5b2ce47eb",1,0,1,0.46758257923562,0.025,"Bacteria","Bacteroidota","Bacteroidia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","44cae38ace30f54ee81cc5c5b2ce47eb"
"3d48874183df65f00f253cf68234e2ca",1,0,1,0.526979156863079,0.026,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified_Family","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","3d48874183df65f00f253cf68234e2ca"
"f684347f6c1a5dcf941c4c17be9dfb8d",0,1,2,0.636439264711235,0.029,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Sutterella (genus-level)"
"572be56789b840dc21f0dfad380396b3",1,0,1,0.489869623812815,0.031,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Geofilum (genus-level)"
"2c524905ff25d5599f17477ada457730",1,0,1,0.515483427539331,0.044,"Bacteria","Bacteroidota","Bacteroidia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","2c524905ff25d5599f17477ada457730"
"73095392f7c7ecdff313b8558644334c",0,1,2,0.525000234308438,0.047,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Lachnospiraceae (family-level)"
"d6bff94349f93df9c98368bfbc740ed0",0,1,2,0.435142941105225,0.049,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Mes_only","NoMeds","Lachnospiraceae (family-level)"
