"FeatureID","s.Cor_only","s.NoMeds","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","Tissue","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"8ec05512c8c6b5c2af1f53fccd4c1ae8",1,0,1,0.870781991169794,0.002,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","8ec05512c8c6b5c2af1f53fccd4c1ae8"
"b228e20616a0a4c9165abf62df11eea5",1,0,1,0.864021572609854,0.007,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","b228e20616a0a4c9165abf62df11eea5"
"3678d26eb8e3fd26e603acd051347085",1,0,1,0.644899630805702,0.007,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Family_XI","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","Family_XI (family-level)"
"b6635d67cb594473ddba9f8cfba5d13d",0,1,2,0.852889228971745,0.008,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","Marinilabiliaceae (family-level)"
"5de1d6cba226a6843caa04eb17639ae6",1,0,1,0.8673930205171,0.01,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","5de1d6cba226a6843caa04eb17639ae6"
"070175299e62656222c1900a4edcc5ee",1,0,1,0.605702719416219,0.018,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","Geofilum (genus-level)"
"8d478879084ed7c88660c8b0c4b24923",1,0,1,0.631417663021888,0.018,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","Ruminococcus (genus-level)"
"463ccc4044935acfa08235ade550557e",1,0,1,0.534522483824849,0.018,"Bacteria","Bacteroidota","Bacteroidia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","463ccc4044935acfa08235ade550557e"
"e504385fbd83b4253f6a4a941a1e7007",1,0,1,0.514199331936996,0.031,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","e504385fbd83b4253f6a4a941a1e7007"
"224d266b147588a000917723c0268775",1,0,1,0.614212162238192,0.033,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","224d266b147588a000917723c0268775"
"4f8285827d64ed44a3a48f09c8deb2fb",1,0,1,0.528736004613078,0.036,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Family_XI","Anaerosphaera","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","Anaerosphaera (genus-level)"
"d2fe8c598bde9cc2b9d34a3f1e0303ca",1,0,1,0.581132810984694,0.037,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","d2fe8c598bde9cc2b9d34a3f1e0303ca"
"875f9ef9a121a3002ea097444690a20a",1,0,1,0.523040595575979,0.042,"Bacteria","Bacillota","Clostridia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","875f9ef9a121a3002ea097444690a20a"
"edc06e5f20535c71071803ccc27290d8",0,1,2,0.750132706249407,0.048,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","Lachnospiraceae (family-level)"
"7862462431c2d710680a356852bbcafa",1,0,1,0.530598298748078,0.049,"Bacteria",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G1 Corticosteroids Only vs No Medication","Noninflamed","Cor_only","NoMeds","7862462431c2d710680a356852bbcafa"
