"FeatureID","s.Cor_only","s.Mes_only","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","Tissue","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"5de1d6cba226a6843caa04eb17639ae6",1,0,1,0.848554523069036,0.007,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","5de1d6cba226a6843caa04eb17639ae6"
"6251bd9ebf43fae466939ab366f6e547",0,1,2,0.845267164039695,0.009,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","Marinilabiliaceae (family-level)"
"3678d26eb8e3fd26e603acd051347085",1,0,1,0.654205079897337,0.012,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Family_XI","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","Family_XI (family-level)"
"0b9d6ae30698fe3144a187eaaafdaef8",1,0,1,0.631119993470078,0.019,"Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfobaculum","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","Desulfobaculum (genus-level)"
"35fd41579b5eec27ec14c400c586c480",1,0,1,0.630832817666073,0.022,"Bacteria","Bacillota",NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","35fd41579b5eec27ec14c400c586c480"
"bbae6ed124f4d6b48435a964a95c8418",0,1,2,0.818237350306688,0.025,"Bacteria","Bacillota","Clostridia",NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","bbae6ed124f4d6b48435a964a95c8418"
"8ec05512c8c6b5c2af1f53fccd4c1ae8",1,0,1,0.831960757092081,0.033,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","8ec05512c8c6b5c2af1f53fccd4c1ae8"
"edc06e5f20535c71071803ccc27290d8",0,1,2,0.753092689417534,0.042,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","Lachnospiraceae (family-level)"
"0eebf22536faa70d10968eb4972b2736",1,0,1,0.534522483824849,0.047,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Unclassified_Family","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","0eebf22536faa70d10968eb4972b2736"
"15ceb00ebfbfe7d69e79f08436f255f9",1,0,1,0.524346367078477,0.048,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified_Family","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","15ceb00ebfbfe7d69e79f08436f255f9"
"b6635d67cb594473ddba9f8cfba5d13d",0,1,2,0.777300550358441,0.048,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Unclassified_Genus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","Marinilabiliaceae (family-level)"
"8d478879084ed7c88660c8b0c4b24923",1,0,1,0.593036882567066,0.049,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Unclassified_Species","G4 Corticosteroids Only vs Mesalamine Only","Noninflamed","Cor_only","Mes_only","Ruminococcus (genus-level)"
